"","uni_spp","uX","uY","R0_mean","R0_med","R0_lq95","R0_uq95","life_expect","life_expect_lq95","life_expect_uq95","mean_repA","mean_rep_lq95","mean_rep_uq95","sen_rep","sen_sur","sen_gr","sen_life_ex","sen_mean_rep","elas_rep","elas_sur","elas_gr","elas_rep_fl","elas_sur_le"
"42","uspp_42",16.25,4.17,3498.2099121117,2586.09072569823,525.666351206095,11586.6462903767,26.4134704924208,6.34664279737759,80.3645123361052,36.1668924704984,24.5022779382336,49.771676000537,13.6913271861248,3646.39913915399,437.47501829546,25.0743173923441,1.96554803884967,0.0094718772178332,1.81975120373446,2.86969794111787,0.0823232218424308,1.15744615572854
"43","uspp_43",15.4153846153846,6.08769230769231,1256.65712479795,1125.40909846407,489.681923226183,2830.4527714102,17.8607474494022,8.29391891464187,36.2050033882517,25.1048427142895,19.6005943955417,31.1213090770749,15.1776279571562,1323.6143804253,172.740576954285,16.5472962247564,1.88702495600655,0.0237343435112921,1.80936053554903,3.12833634949134,0.16561487577938,1.15961281071101
"44","uspp_44",14.8157142857143,5.43285714285714,350.389976601136,307.386126338349,103.016402101075,843.165875324162,6.80121431338467,3.32338216665245,13.8799232168382,22.8158981248526,15.9184999932379,30.2292993841521,7.93198897419025,395.444411938323,47.347434519397,5.65030315676307,2.06917808155048,0.0469327594991042,1.94879870200042,3.0827356900015,0.268413745709886,1.42301920877364
"45","uspp_45",14.35,5.28,203.009199305894,158.433864160101,32.8687311616067,641.00627903937,4.60506982520698,1.93044140408893,10.776516016526,22.9408036060253,14.1610318743822,32.7951711461765,5.30483337173861,235.009673706744,26.7788613980834,3.50006688702347,2.03131386402496,0.0621611455986421,2.00889414614551,2.97661147467248,0.352581206275877,1.70141552120054
"46","uspp_46",107.3,-166.055,371.17089117754,227.066982668286,38.1050683881553,1561.71767750929,4.23741937335543,1.63224525146506,11.8700476417747,38.4009780176823,23.9009672942965,54.7432501128252,2.93461007245493,439.601155142298,43.9489783710969,3.13330870846659,1.81719397786844,0.0261861485514566,2.10012699694294,2.60461815547656,0.282168740761483,1.97654895072959
"47","uspp_47",107.414285714286,-167.075714285714,606.613791786632,403.628303809618,82.3554136105811,2283.37297863079,5.40580554813138,2.0015433548259,15.2555121357997,42.0753613996046,29.3144551634795,56.9304824304251,3.05178552264929,708.776282850962,71.5992098088867,4.27039844647861,1.73610985248931,0.0150448774476604,2.08173057095707,2.63645098328263,0.18927965481209,1.73871069418306
"48","uspp_48",108.145,-167.7275,1244.1592422673,711.188229762152,99.4537715639315,5527.09819220054,8.55828712577157,2.1449600273215,31.8485462956853,44.9530288939953,30.440644731136,63.930322880401,2.99710613284498,1376.46664931464,143.790603934366,7.3546380139031,1.34090039743107,0.0089455300271401,2.01460428834327,2.63574155033639,0.155477936894837,1.56660206952219
"49","uspp_49",97.98,-170.68,849.723606685116,351.452597008405,21.8521586140962,5298.36587248412,10.5750477907484,1.63055556814146,52.0171639671911,27.7140275378336,12.4209114649506,47.9211517916691,10.0874462428849,899.594854034563,117.262897684294,9.15690079536825,1.92924392146436,0.0462931642916376,1.94057817111615,3.00037109711188,0.290976427692665,1.6056364765953
"50","uspp_50",80.78,-162.993333333333,164.182818920545,103.438513411664,23.318248212767,656.800065950422,3.12415828087107,1.54632541482345,7.48082131079677,32.5777762438135,20.7754373149672,46.4320988817721,2.16725037957662,196.748995699515,18.9725692670676,2.05198701749826,1.43289256867994,0.0400999807827067,2.05807569077108,2.52938561750732,0.477746523211823,2.15497364437303
"51","uspp_51",77.13,-153.61,95.3582214169613,65.1015438900033,14.2072280584817,329.882412993901,2.82673814309697,1.43532497445315,6.19697710445084,24.792308518006,15.6226915187033,35.6232617100014,2.70705245427559,112.980310850032,11.6091933895812,1.76825965418672,1.78691867650876,0.0729906331690411,2.01162100683558,2.66789555248363,0.525910651414269,2.20681313427233
"52","uspp_52",75.79,-153.5,160.092369806336,106.349322400142,21.5731468418957,636.06311554389,3.34757287297412,1.54277157449984,8.47019923544442,28.4965124863248,18.6293815186531,40.6222674036648,3.11831090376519,190.871808902544,19.3719899218665,2.2736145020471,1.89454553692422,0.0524989607201799,2.06052291177081,2.67272547156189,0.406866847226572,2.08029861712543
"53","uspp_53",75.364,-155.226,300.2136603282,206.115276273227,42.9004198792895,1158.62921582309,5.07819392986591,2.00066090341883,13.1932370067635,28.3893387720203,19.3809090714496,38.7425149011929,3.60402190550395,343.555053178136,37.1612623225272,3.96703137506281,1.5530099800182,0.0331276969151081,2.00658438929879,2.75272478982509,0.310888613366594,1.67892264167843
"54","uspp_54",76.9466666666667,-154.683333333333,131.984256762101,99.6063632435726,27.4992278055478,412.991112496527,3.79278589963127,1.87134230224979,8.3805706883742,21.8197883616009,15.369949950893,29.6972430733317,3.81649768001092,152.084717009817,17.1359474430108,2.70392827961927,1.7374128121629,0.0669552241225463,1.98490828066575,2.88764936806379,0.439926869709114,1.79405651777897
