"","uID","uLoc","rep","year","height","height_prev","X","Y"
"3686","5197:1252","5197:1252",1,2005,29.7,33,37.82,-50.53
"3687","5197:1252","5197:1252",1,2004,33,9,37.82,-50.53
"3690","5197:1253","5197:1253",1,2005,39,27,37.96,-50.43
"3691","5197:1253","5197:1253",1,2004,27,4,37.96,-50.43
"3694","5197:1254","5197:1254",1,2005,48.4,16,37.82,-50.16
"3695","5197:1254","5197:1254",0,2004,16,2,37.82,-50.16
"3698","5197:1255","5197:1255",1,2005,45.2,30,37.6,-50.3
"3699","5197:1255","5197:1255",1,2004,30,6,37.6,-50.3
"3701","5197:1256","5197:1256",1,2007,53.1,40.1,37.51,-49.86
"3702","5197:1256","5197:1256",1,2006,40.1,46,37.51,-49.86
"3703","5197:1256","5197:1256",1,2005,46,24,37.51,-49.86
"3704","5197:1256","5197:1256",1,2004,24,8,37.51,-49.86
"3707","5197:1257","5197:1257",1,2005,47.5,40,37.46,-49.69
"3708","5197:1257","5197:1257",1,2004,40,22,37.46,-49.69
"3711","5197:1258","5197:1258",1,2005,44.1,45,37.07,-49.99
"3712","5197:1258","5197:1258",1,2004,45,10,37.07,-49.99
"3715","5197:1259","5197:1259",1,2005,25.7,29,37.03,-49.91
"3716","5197:1259","5197:1259",1,2004,29,8,37.03,-49.91
"3719","5197:1260","5197:1260",1,2005,26.7,21,36.98,-49.71
"3720","5197:1260","5197:1260",1,2004,21,4,36.98,-49.71
"3723","5197:1261","5197:1261",1,2005,30.5,14,37.11,-49.68
"3724","5197:1261","5197:1261",0,2004,14,3,37.11,-49.68
"3727","5197:1262","5197:1262",1,2005,31,39,36.9,-49.23
"3728","5197:1262","5197:1262",1,2004,39,40,36.9,-49.23
"3731","5197:1263","5197:1263",1,2005,43.6,28,36.66,-49.79
"3732","5197:1263","5197:1263",1,2004,28,6,36.66,-49.79
"3735","5197:1264","5197:1264",1,2004,31,10,36.17,-50.22
"3738","5197:1265","5197:1265",1,2005,33.5,46,36.13,-49.82
"3739","5197:1265","5197:1265",1,2004,46,31,36.13,-49.82
"3741","5197:1266","5197:1266",1,2007,46,24.5,36.5,-50.68
"3742","5197:1266","5197:1266",1,2006,24.5,32.6,36.5,-50.68
"3743","5197:1266","5197:1266",1,2005,32.6,30,36.5,-50.68
"3744","5197:1266","5197:1266",1,2004,30,27,36.5,-50.68
"3747","5197:1267","5197:1267",1,2005,32.6,42,35.68,-52.89
"3748","5197:1267","5197:1267",1,2004,42,38,35.68,-52.89
"3751","5197:1268","5197:1268",1,2005,35.5,43,35.7,-52.7
"3752","5197:1268","5197:1268",1,2004,43,35,35.7,-52.7
"3755","5197:1269","5197:1269",1,2005,54.9,57,37.49,-53.13
"3756","5197:1269","5197:1269",1,2004,57,27,37.49,-53.13
"3761","5197:1271","5197:1271",1,2005,31.6,17,37.27,-52.61
"3762","5197:1271","5197:1271",0,2004,17,16,37.27,-52.61
"3765","5197:1272","5197:1272",1,2005,45,25,37.02,-52.07
"3766","5197:1272","5197:1272",1,2004,25,11,37.02,-52.07
"3768","5197:1273","5197:1273",1,2007,39.1,32.8,37.14,-52.21
"3769","5197:1273","5197:1273",1,2006,32.8,37.7,37.14,-52.21
"3770","5197:1273","5197:1273",1,2005,37.7,42,37.14,-52.21
"3771","5197:1273","5197:1273",1,2004,42,16,37.14,-52.21
"3773","5197:1274","5197:1274",1,2007,43.9,19.7,37.4,-52.28
"3774","5197:1274","5197:1274",1,2006,19.7,38,37.4,-52.28
"3775","5197:1274","5197:1274",1,2005,38,31,37.4,-52.28
"3776","5197:1274","5197:1274",1,2004,31,9,37.4,-52.28
"3778","5130:1275","5130:1275",1,2004,52,27,84.54,-212.65
"3780","5130:1276","5130:1276",1,2004,35,8,84.48,-212.06
"3783","5197:1278","5197:1278",1,2007,39.4,18.3,38.56,-49.52
"3784","5197:1278","5197:1278",1,2006,18.3,30.2,38.56,-49.52
"3785","5197:1278","5197:1278",1,2005,30.2,21,38.56,-49.52
"3786","5197:1278","5197:1278",0,2004,21,7,38.56,-49.52
"3789","5197:1279","5197:1279",1,2004,26,10,38.28,-52.08
"3792","5197:1280","5197:1280",1,2004,19,9,38.02,-52.64
"3795","5197:1281","5197:1281",1,2004,37,25,38,-52.9
"3798","5197:1282","5197:1282",1,2004,37,23,38.78,-52.46
"3804","5197:1285","5197:1285",1,2004,33,35,39,-52.92
"3807","5197:1286","5197:1286",1,2005,5.1,5,39.36,-52.04
"3808","5197:1286","5197:1286",0,2004,5,1,39.36,-52.04
"3811","5197:1287","5197:1287",1,2005,53.8,20,39.45,-51.97
"3812","5197:1287","5197:1287",0,2004,20,2,39.45,-51.97
"3814","5189:1288","5189:1288",1,2007,41.3,37.1,80.14,-97.91
"3815","5189:1288","5189:1288",1,2006,37.1,34.1,80.14,-97.91
"3816","5189:1288","5189:1288",1,2005,34.1,27,80.14,-97.91
"3817","5189:1288","5189:1288",1,2004,27,25,80.14,-97.91
"3819","5189:1289","5189:1289",1,2007,41.2,38.2,79.83,-97.96
"3820","5189:1289","5189:1289",1,2006,38.2,41,79.83,-97.96
